x,y
0.0,1.0
0.82467704787329,1.2739062279536215
1.4813649727828508,1.4871565607110284
1.7793665822043496,1.5795456127233363
2.0243884234799063,1.651935495163827
2.2501687546760882,1.7153732545780893
2.4683065188432343,1.7735305249081164
2.6844420461416902,1.8280716332038902
2.901896460708158,1.8798652432663536
3.1228993326192116,1.9293933135170986
3.3491041864510844,1.9769222542967395
3.5818381977279437,2.022585022795154
3.8222362808345607,2.0664243111352785
4.071319113512359,2.108416738657586
4.330041665479052,2.1484869372440176
4.599325203778643,2.1865158664344904
4.880079579640548,2.2223456258389898
5.1732195824014635,2.2557820169532596
5.479677573748883,2.2865955758508276
5.800413753647502,2.314521505717481
6.136424916061825,2.3392587692359026
6.488752259900149,2.3604684989829843
6.85848864159157,2.377771820048904
7.246785543492067,2.3907471372215516
7.654859960648547,2.3989269104184165
8.084001362143363,2.40179392141769
